Title,link_url,institute,author,language,description,date,tags,ratings,votes
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies (Coursera) More Info,https://www.mooc-list.com/course/beyond-silicon-valley-growing-entrepreneurship-transitioning-economies-coursera https://www.mooc-list.com/course/beyond-silicon-valley-growing-entrepreneurship-transitioning-economies-coursera,Case Western Reserve University,Coursera,English,"The path for entrepreneurs to grow their companies outside of well-developed entrepreneurial ecosystems like Silicon Valley is challenging. Most markets around the world do not look like Silicon Valley, and they never will. But there are other models to support new businesses. In transitioning markets (where entrepreneurs do not have much access to private sector financing), government officials, donors, and business leaders are experimenting with creative approaches to support the growth of entrepreneurs. Northeast Ohio, whose largest city is Cleveland, is one such community. During our time together in this course, we will be exploring some of these innovative approaches.",Feb 25th 2019,"Entrepreneurship
,  Silicon Valley
,  Entrepreneur
,  Business
,  Management",Average: 3,(3 votes)
Public Economics (Coursera) More Info,https://www.mooc-list.com/course/public-economics-coursera https://www.mooc-list.com/course/public-economics-coursera,Higher School of Economics (HSE) - National Research University,Coursera,English,This course deals with the economic role of the state and explores factors that affect government performance. Both normative economic theories of the state and positive analyses of government’s involvement in the private sector will be presented.,Feb 25th 2019,"Economics
,  Public Economics",,
Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing (Coursera) More Info,https://www.mooc-list.com/course/economic-growth-and-distributive-justice-part-ii-maximize-social-wellbeing-coursera https://www.mooc-list.com/course/economic-growth-and-distributive-justice-part-ii-maximize-social-wellbeing-coursera,Tel Aviv University,Coursera,English,"If you really care about the big questions in the economies and societies of the 21st century, such as distributive justice - namely, inequality of income or wealth, and its correlation with economic growth - this course is meant for you. The knowledge you will gain can truly change your outlook on our world.",Feb 25th 2019,"Economic Growth
,  Distributive Justice
,  Social Wellbeing
,  Taxation
,  Tax
,  Inequality
,  Poverty",Average: 6.3,(3 votes)
The Horse Course: Introduction to Basic Care and Management (Coursera) More Info,https://www.mooc-list.com/course/horse-course-introduction-basic-care-and-management-coursera https://www.mooc-list.com/course/horse-course-introduction-basic-care-and-management-coursera,University of Florida,Coursera,English,"There are over 100 million horses, donkeys and mules in the world today and owners of these animals can be found on almost every continent and in almost every society. The Horse Course will cover many unique aspects of equine ownership and touch upon the science behind many of today’s management practices.",Feb 25th 2019,"Horses
,  Equine Management
,  Basic Care
,  Donkey
,  Mules
,  Equine
,  Equine Physiology
,  Equine Behaviour
,  Equine Nutrition
,  Equine Health
,  Breeding Horses",Average: 6.4,(11 votes)
Statistical Inference (Coursera) More Info,https://www.mooc-list.com/course/statistical-inference-coursera https://www.mooc-list.com/course/statistical-inference-coursera,Johns Hopkins University,Coursera,English,"Statistical inference is the process of drawing conclusions about populations or scientific truths from data. There are many modes of performing inference including statistical modeling, data oriented strategies and explicit use of designs and randomization in analyses. Furthermore, there are broad theories (frequentists, Bayesian, likelihood, design based, …) and numerous complexities (missing data, observed and unobserved confounding, biases) for performing inference. A practitioner can often be left in a debilitating maze of techniques, philosophies and nuance.",Feb 25th 2019,"Data Science Specialization
,  Statistical Inference
,  Statistics
,  Data Analysis
,  Data Science",Average: 6.9,(13 votes)
El plan de marketing (Coursera) More Info,https://www.mooc-list.com/course/el-plan-de-marketing-coursera https://www.mooc-list.com/course/el-plan-de-marketing-coursera,IE Business School,Coursera,Spanish,"¿De qué sirve una estrategia de marketing perfecta sin saber cómo actuar e implementarla en el mercado? Definiremos la estrategia y el marketing mix que tu producto / servicio o marca deben seguir. El plan de marketing incluye la estrategia de marketing y el plan para implementarla. En el desarrollo del plan de marketing, tendrás que responder a preguntas tales como: ¿Qué mix de marketing se ofrecerá y para quién? ¿Qué recursos de la empresa se necesitarán? ¿Qué resultados se esperan?",Feb 25th 2019,"Marketing
,  Marketing Strategy
,  Marketing Mix
,  Strategy
,  Marketing Management
,  Marketing Plan",Average: 6,(3 votes)
Practical Approaching to Computational Algebra (Computation with Python) (Miríada X) Mar 1st 2019 More Info,https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x undefined https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x,Universidad de Cádiz,Miríada X,"English,  Spanish","Introducimos el Álgebra Computacional desde un punto de vista práctico mostrando su aplicabilidad. Damos herramientas matemáticas para el estudio y resolución de sistemas polinomiales, y sistemas diofánticos con soluciones enteras positivas. / We introduce Computational Algebra from a practical point of view showing its applicability. We give mathematical tools for the study and resolution of polynomial systems, and diophantine systems with positive integer solutions.",Mar 1st 2019,"Computational Algebra,  Polynomial Systems,  Algorithms,  Python,  Programming",,
Fortalecimiento efectivo y saludable de la musculatura abdominal y lumbar (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x undefined https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x,Universidad de Murcia,Miríada X,Spanish,"Para fortalecer la musculatura abdominal y lumbar de forma efectiva y saludable, es preciso seleccionar los ejercicios en función de las capacidades y motivaciones de cada persona. Conocer las características y efectos de cada ejercicio, permitirá elegir aquellos mas adecuados, así como evitar los más problemáticos. De este modo, podremos mejorar la salud de nuestra columna vertebral.",Feb 25th 2019,"Health,  Abdominal Muscles,  Lumbar Muscles,  Physical Exercise,  Muscle Strength",,
Reservoir Simulation (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/reservoir-simulation-miriada-x undefined https://www.mooc-list.com/course/reservoir-simulation-miriada-x,Universidad Politécnica de Madrid,Miríada X,English,"Oil and gas reservoir modelling needs two types of data. Those that permit to define the static model (core, well logs and seismic interpretation) and those that allow to define the dynamic model (pressure evolution, fluid production, boundary conditions). In this MOOC we will focus on the dynamic model.",Feb 25th 2019,"Reservoirs,  Oil Reservoirs,  Gas Reservoirs,  Dynamic Models",,
Habilidades para el Empleo. ¡Marca la diferencia en tu carrera profesional! (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x undefined https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x,Universitas Telefónica,Miríada X,Spanish,"Este curso está diseñado tanto para profesionales que busquen mejorar su perfil como candidatos en su búsqueda de empleo, o incluso para aquellos trabajadores en activo que deseen mejorar su desempeño a través del desarrollo de habilidades que denominamos ""transversales"". Se trata de aprender las destrezas necesarias aplicables a cualquier tipo de profesión y, en muchos casos, resultan ser el punto de diferenciación entre candidatos e incluso la clave de nuestros avances en nuestra carrera profesional. ¡Aprovecha la oportunidad!",Feb 25th 2019,"Job Skills,  Employment,  Employability,  Job Search",,
Conceptos Básicos de Estática: Análisis de Cuerpos Rígidos (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x undefined https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x,Universidad EAFIT,Miríada X,Spanish,"La Estática es la conjunción de la Física y las Matemáticas para solucionar problemas de la naturaleza con base en ecuaciones simples. Es una parte de la Mecánica Clásica en lo que se refiere a los cuerpos indeformables que además carecen de movimiento espacial o que se mueven con velocidad constante. En el curso conceptos básicos de Estática: Análisis de Cuerpos Rígidos, el estudiante logrará: Determinar los momentos originados por fuerzas aplicadas en un cuerpo rígido, deducir a partir de un sistema de fuerzas el sistema equivalente fuerza momento, definir de una forma clara el diagrama de cuerpo libre de fuerzas y momentos aplicados en un cuerpo rígido, y analizar a partir de las leyes de Newton el equilibrio de fuerzas y momentos en un cuerpo rígido.",Feb 25th 2019,"Static,  Physics,  Math,  Mathematics,  Classical Mechanics",,
M103: Basic Cluster Administration (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb undefined https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb,MongoDB University,MongoDB,English,Learn the essentials of database administration in MongoDB. This course will provide you with the tools and insight to administer basic MongoDB deployments with confidence.,Mar 12th 2019,"MongoDB,  Replication,  Sharding,  Databases,  MongoDB Clusters",Average: 1,(3 votes)
M121: The MongoDB Aggregation Framework (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb undefined https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb,MongoDB University,MongoDB,English,Learn how to use MongoDB's Aggregation Framework. This course will provide you with the knowledge to use MongoDB Aggregation Framework with confidence on your application development practices.,Mar 12th 2019,"MongoDB,  Aggregation Framework,  MongoDB Aggregation Framework,  Aggregation",Average: 2,(3 votes)
M201: MongoDB Performance (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m201-mongodb-performance-mongodb undefined https://www.mooc-list.com/course/m201-mongodb-performance-mongodb,MongoDB University,MongoDB,English,Learn how to optimize the performance of your MongoDB deployment. This course will cover how to use best practices for achieving performance at scale in a MongoDB system.,Mar 12th 2019,"MongoDB,  MongoDB Performance,  MongoDB Deployments",Average: 5,(7 votes)
M220J: MongoDB for Java Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220j-mongodb-java-developers-mongodb undefined https://www.mooc-list.com/course/m220j-mongodb-java-developers-mongodb,MongoDB University,MongoDB,English,"Learn the essentials of Java application development with MongoDB. This course will teach you how to use MongoDB as the database for a Java application. You'll play the role of a back-end developer for a Java application, and your job is to implement the application's communication with MongoDB.",Mar 12th 2019,"Java,  MongoDB,  Databases,  Programming,  Developer,  NoSQL",Average: 6.1,(14 votes)
M220JS: MongoDB for Javascript Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220js-mongodb-javascript-developers-mongodb undefined https://www.mooc-list.com/course/m220js-mongodb-javascript-developers-mongodb,MongoDB University,MongoDB,English,"Learn the essentials of Node.js application development with MongoDB. This course will teach you how to use MongoDB as the database for a Node.js application. You'll play the role of a back-end developer for a Node.js application, and your job is to implement the application's communication with MongoDB.",Mar 12th 2019,"MongoDB,  Javascript,  Node.js,  MFlix",Average: 3.9,(16 votes)
M220P: MongoDB for Python Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220p-mongodb-python-developers-mongodb undefined https://www.mooc-list.com/course/m220p-mongodb-python-developers-mongodb,MongoDB University,MongoDB,English,Learn the essentials of Python application development with MongoDB. This course will teach you how to use MongoDB as the database for a Python application.,Mar 12th 2019,"MongoDB,  Python,  Python Programming,  Applications Development",,
M310: MongoDB Security (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m310-mongodb-security-mongodb undefined https://www.mooc-list.com/course/m310-mongodb-security-mongodb,MongoDB University,MongoDB,English,Learn how to use MongoDB's native and third-party integration security features and resources. This course will provide you with the knowledge to create secured deployments of MongoDB for production-ready environments.,Mar 12th 2019,"Security,  MongoDB Security,  MongoDB",Average: 5.6,(9 votes)
Art & Activity: Interactive Strategies for Engaging with Art (Coursera) More Info,https://www.mooc-list.com/course/art-activity-interactive-strategies-engaging-art-coursera https://www.mooc-list.com/course/art-activity-interactive-strategies-engaging-art-coursera,The Museum of Modern Art,Coursera,English,"Art can be a powerful catalyst for building skills and understanding a range of subjects. Intended for primary and secondary teachers of all disciplines, Art & Activity builds upon the inquiry-based approaches of Art and Inquiry: Museum Teaching Strategies for Your Classroom, while delving into activity-based strategies that will make your students empowered participants.",Feb 25th 2019,"Art
,  Creativity
,  Learning
,  Education
,  Interactive Strategies
,  Creating
,  Imagining",Average: 6,(4 votes)
Teaching EFL/ESL Reading: A Task Based Approach (Coursera) More Info,https://www.mooc-list.com/course/teaching-eflesl-reading-task-based-approach-coursera https://www.mooc-list.com/course/teaching-eflesl-reading-task-based-approach-coursera,"UCL Institute of Education,  University of London",Coursera,English,This course explores ways of teaching reading skills in English as Second and Foreign Language (ESL/EFL) using a task-based approach. You will be introduced to the concept of task and the key principles of task-based language teaching (TBLT) and learning. TBLT uses communicative tasks as the key unit for creating language learning activities. You will also examine the role of reading in real-life and in second and foreign language teaching and current thinking about the interface between TBLT and second language reading.,Feb 25th 2019,"EFL/ESL
,  Teaching
,  English
,  Reading Skills
,  TBLT
,  Second Language
,  Foreign Languages",Average: 5.9,(13 votes)
Learning to Teach Online (Coursera) More Info,https://www.mooc-list.com/course/learning-teach-online-coursera https://www.mooc-list.com/course/learning-teach-online-coursera,UNSW Australia (The University of New South Wales),Coursera,English,Are you an educator? Have you ever wanted to understand more about how to design your class to make better use of educational technology – whether fully online or in blended contexts? Would you like to learn from those who have extensive practical experience with online technologies? The Learning to Teach Online (LTTO) MOOC will help you develop a working understanding of successful online teaching strategies that you can apply in your own practice. The course is based upon the multi award winning open educational resource developed by Dr Simon McIntyre and Karin Watson.,Feb 25th 2019,"Education
,  Online Teaching
,  Teacher Education
,  Teacher Development",Average: 4.3,(12 votes)
Practical Predictive Analytics: Models and Methods (Coursera) More Info,https://www.mooc-list.com/course/practical-predictive-analytics-models-and-methods-coursera https://www.mooc-list.com/course/practical-predictive-analytics-models-and-methods-coursera,University of Washington,Coursera,English,"Statistical experiment design and analytics are at the heart of data science. In this course you will design statistical experiments and analyze the results using modern methods. You will also explore the common pitfalls in interpreting statistical arguments, especially those associated with big data. Collectively, this course will help you internalize a core set of practical and effective machine learning methods and concepts, and apply them to solve some real world problems.",Feb 25th 2019,"Data Science
,  Predictive Analytics
,  Models
,  Methods
,  Data Analysis
,  Statistical Inference
,  Resampling Methods
,  Supervised Learning
,  Optimisation",Average: 7.2,(13 votes)
Gamification (Coursera) More Info,https://www.mooc-list.com/course/gamification-coursera https://www.mooc-list.com/course/gamification-coursera,University of Pennsylvania,Coursera,English,"Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively.",Feb 25th 2019,"Gamification
,  Game
,  Business
,  Enterprise
,  Social",Average: 7.6,(5 votes)
Fundamentals of Fluid Power (Coursera) More Info,https://www.mooc-list.com/course/fundamentals-fluid-power-coursera https://www.mooc-list.com/course/fundamentals-fluid-power-coursera,University of Minnesota,Coursera,English,"Fluid power has the highest power density of all conventional power-transmission technologies. Learn the benefits and limitations of fluid power, how to analyze fluid power components and circuits, and how to design fluid power circuits for specific applications.",Feb 25th 2019,"Fluid Power
,  Hydraulic Components
,  Hydraulics
,  Pneumatics
,  SimHydraulics
,  Fluid Properties",Average: 8.7,(6 votes)
Teaching the Violin and Viola: Creating a Healthy Foundation (Coursera) More Info,https://www.mooc-list.com/course/teaching-violin-and-viola-creating-healthy-foundation-coursera https://www.mooc-list.com/course/teaching-violin-and-viola-creating-healthy-foundation-coursera,Northwestern University,Coursera,English,"Join us as we explore the fundamental principles and early stages of teaching violin and viola through a series of engaging video lectures and lesson demonstrations, including: 1) Master classes with some of the world’s top string pedagogues, 2) Individual lesson demos of teaching violin/viola set up, left and right hand technique and pieces from the early violin/viola repertoire, 3) Group lesson demos of teaching music theory, ear training and fun activities that encourage good playing habits, and 4) A “field trip” to the violin shop, where we will outfit a new beginning student with a proper instrument and bow.",Feb 25th 2019,"Music
,  Violin
,  Viola
,  Music Theory",Average: 7,(3 votes)
Take the Lead on Healthcare Quality Improvement (Coursera) More Info,https://www.mooc-list.com/course/take-lead-healthcare-quality-improvement-coursera https://www.mooc-list.com/course/take-lead-healthcare-quality-improvement-coursera,Case Western Reserve University,Coursera,English,In this course you will learn about the importance of quality in healthcare and how you can contribute by implementing a quality improvement (QI) project to improve processes of care and patient outcomes. You will learn about powerful tools to add to your QI ‘toolbox’ during short lectures and reflective exercises.,Feb 25th 2019,"Healthcare
,  Quality Improvement
,  Health
,  Medicine",Average: 6,(3 votes)
Democracia y decisiones públicas. Introducción al análisis de políticas públicas (Coursera) More Info,https://www.mooc-list.com/course/democracia-y-decisiones-publicas-introduccion-al-analisis-de-politicas-publicas-coursera https://www.mooc-list.com/course/democracia-y-decisiones-publicas-introduccion-al-analisis-de-politicas-publicas-coursera,Universitat Autònoma de Barcelona,Coursera,Spanish,"¿Qué son las políticas públicas? Son la plasmación más concreta de la política. Lo que los gobiernos hacen, y dejan de hacer, para hacer frente a los problemas colectivos. Este curso trata sobre cómo se decide qué problemas abordar y qué soluciones adoptar. Un proceso primordialmente político y social que suele escapar al análisis puramente racional.",Feb 25th 2019,"Politics
,  Public Policy
,  Policy",,
Successful Negotiation: Essential Strategies and Skills (Coursera) More Info,https://www.mooc-list.com/course/successful-negotiation-essential-strategies-and-skills-coursera https://www.mooc-list.com/course/successful-negotiation-essential-strategies-and-skills-coursera,University of Michigan,Coursera,English,"We all negotiate on a daily basis. On a personal level, we negotiate with friends, family, landlords, car sellers and employers, among others. Negotiation is also the key to business success.  No business can survive without profitable contracts.  Within a company, negotiation skills can lead to your career advancement.",Feb 25th 2019,"Negotiation
,  Strategy
,  Negotiation Strategy
,  Skills
,  Business
,  Success",Average: 6.1,(16 votes)
Digital Manufacturing & Design (Coursera) More Info,https://www.mooc-list.com/course/digital-manufacturing-design-coursera https://www.mooc-list.com/course/digital-manufacturing-design-coursera,"State University of New York,  University at Buffalo",Coursera,English,"This course will expose you to the transformation taking place, throughout the world, in the way that products are being designed and manufactured. The transformation is happening through digital manufacturing and design (DM&D) – a shift from paper-based processes to digital processes in the manufacturing industry. By the end of this course, you’ll understand what DMD is and how it is impacting careers, practices and processes in companies both large and small.",Feb 25th 2019,"Digital Manufacturing
,  Design
,  Digital Design
,  DMD",Average: 6.3,(3 votes)
The Beauty of Kunqu Opera (Coursera) More Info,https://www.mooc-list.com/course/beauty-kunqu-opera-coursera https://www.mooc-list.com/course/beauty-kunqu-opera-coursera,"California State University, East Bay,  The Chinese University of Hong Kong",Coursera,English,"This course will focus on the historical and cultural background, literary aesthetic, music, and performance of Kunqu, China’s classical opera.",Feb 25th 2019,"Chinese Culture
,  Opera
,  Art
,  Kunqu
,  Classical Opera",Average: 6,(2 votes)
Practical Approaching to Computational Algebra (Computation with Python) (Miríada X) Mar 1st 2019 More Info,https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x undefined https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x,Universidad de Cádiz,Miríada X,"English,  Spanish","Introducimos el Álgebra Computacional desde un punto de vista práctico mostrando su aplicabilidad. Damos herramientas matemáticas para el estudio y resolución de sistemas polinomiales, y sistemas diofánticos con soluciones enteras positivas. / We introduce Computational Algebra from a practical point of view showing its applicability. We give mathematical tools for the study and resolution of polynomial systems, and diophantine systems with positive integer solutions.",Mar 1st 2019,"Computational Algebra,  Polynomial Systems,  Algorithms,  Python,  Programming",,
Fortalecimiento efectivo y saludable de la musculatura abdominal y lumbar (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x undefined https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x,Universidad de Murcia,Miríada X,Spanish,"Para fortalecer la musculatura abdominal y lumbar de forma efectiva y saludable, es preciso seleccionar los ejercicios en función de las capacidades y motivaciones de cada persona. Conocer las características y efectos de cada ejercicio, permitirá elegir aquellos mas adecuados, así como evitar los más problemáticos. De este modo, podremos mejorar la salud de nuestra columna vertebral.",Feb 25th 2019,"Health,  Abdominal Muscles,  Lumbar Muscles,  Physical Exercise,  Muscle Strength",,
Reservoir Simulation (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/reservoir-simulation-miriada-x undefined https://www.mooc-list.com/course/reservoir-simulation-miriada-x,Universidad Politécnica de Madrid,Miríada X,English,"Oil and gas reservoir modelling needs two types of data. Those that permit to define the static model (core, well logs and seismic interpretation) and those that allow to define the dynamic model (pressure evolution, fluid production, boundary conditions). In this MOOC we will focus on the dynamic model.",Feb 25th 2019,"Reservoirs,  Oil Reservoirs,  Gas Reservoirs,  Dynamic Models",,
